reference,generated_summary
"Priscilla is upset with Stu because his friend, Alex, didn't provide her with the right software. She had to buy it online instead.",Stuart is in trouble because his IT friend Alex downloaded Open Office and some other programs and put them on a CD. Priscilla bought the software online.
Helen will do Rita a favour. She will do the research on Salvage Industries to find out if they have any pubic relations problems. ,Rita needs some info on Helen's client Salvage Industries. They are into waste disposal. Helen will double check if they have no PR problems.
Ginger needs to eat something sweet. Phylis is baking a pie. Ginger will come to Phylis shortly.,Ginger will come to Phyl
Anthony can't meet up with Robert at 9 as he has a date then.,Robert and Anthony will go for a beer with Andrew around 9. In the evening Anthony
Jill is bored and has watched YouTube. Nate is at work and will call Jill when he finishes it.,Jill is bored at work. She needs to find a job. Nate
Jake has got his first TOTW this year. Tom doesn't have a great team. ,"Jake pulled a TOTW this year, his first this year. Jake will try him in one or two matches, but he's not a good fit for his squads."
"Rosemary and Victoria would like to record the drums this weekend. Rosemary doesn't have a working laptop, whereas Victoria's tablet doesn't have enough memory for recording. Rosemary will try to borrow a laptop from somebody and will get back to Victoria later.","Victoria and Rosemary are going to record the drums this weekend. Rosemary doesn't have a working laptop. Victoria has a tablet with 2gb ram, but it's running windows 10. They need to borrow a laptop from somebody."
Cass sent her grandson Jordan £20 and a birthday card for his 11th birthday. ,Jordan got his birthday card and money on time. He likes Thomas the Tank Engine.    Cass will get him a football one next time. 
Jane will be about 10 minutes late. Alex is waiting at the left entrance and they are going to attend a meeting. This might be the last opportunity for Jane and Alex to get through to them.,Jane will be 10 minutes late. Alex will be waiting for her by the left entrance. She will take the file with the xerox copies.
Ken is having some bad days.,Ken is depressed and stressed out today. He had a bad day yesterday. Ellen is worried about him. Ken will be fine. 
"Phil received a card from Deana. Constantine was happy. Phil has sunglasses, that Deana found in the back above the radio. Deana and Phil don't know who they belong too. Phil will keep the sunglasses.",Phil and Adrian will take care of the sunglasses Deana found in the empty place above the radio in the very back of her car.
Alice's dad is coming over for a month to decorate Jo's place. Kim's mom and Alice's parents are going to be here on Saturday. Alice and Kim will meet on Friday after 8 after Alice's yoga class. ,Alice's dad is coming over for a month to decorate Jo's place. Kim and Alice will meet on Friday after 8 pm.
The scariest place for Jessica was the Capuchin Catacombs in Palermo.,Jessica has been to Palermo in Italy. There are 8000 corpses in the Capuchin Catacombs. They are divided into different parts. Most of them were exhibited in their clothes.
Maria wants to work as a freelancer. Spencer is an artist. The agency and social media help him to get new clients. He earns around £1000 a month. Spencer encourages Maria to develop her talent and to try freelancing.,Spencer works at a cafe 16 hours a week. Maria works in a call centre. She wants to go part time next year. Spencer works at the cafe and on his illustrations. He gets around 1000 of work a month.
Tim wants to organise a board games night for his colleagues. Joe has some good ideas and tips on where to start. ,"Tim wants to organize a newbie gaming evening with a few people from work. Joe advises Tim to start games before drinking and to choose cooperative games like Arkham Horror, Robinson Crusoe and Pandemic."
"Richard's, Holy's and Anne's project is due on December 15. Anne and Richard are meeting tomorrow at Starbucks down 8th street at 3pm. Holy's out of town, but she'll do some research tonight and send it to them.","Richard and Anne will meet at Starbucks at 3 pm tomorrow to start planning their project. Holy is out of town, but he will be back on Monday."
Gurdun has the flu. He is feeling better. Gurdun hopes he'll be back at the uni on Wednesday. Russ and his team won the last match. ,"Gurdun is feeling a little bit better, but he's still feeling a bit weak and has a muscle pain. Russ had flu three months ago. The team won the last match."
"Leo, Charlie and Oliver are watching a video with a bizarre prank. Charlie has ambivalent feelings. Leo and Oliver enjoy the video's weirdness very much especially moments 3:24 and 5:24.","Leo sends a video to Charlie, Oliver and Oliver. Leo's favourite part is at the beginning of the video. Charlie has mixed feelings about it."
Mummy and Thessalia send Christmas greetings to each other.,"Mummy, Thessalia and Mike wish God's blessing and a happy celebration of Christmas. They are joining in"
JP doesn't want to play because it's time to go to work.,Samara doesn't want to
"Michael can't leave the office before 8 PM, so he's unable to meet with Tom. Michael will call Tom tomorrow.",Michael can't leave the office before 8 pm. He will
Dan wants Kevin to buy him a sandwich on his way to work.,Dan will buy a sandwich
Simon and Charlie admire Poland for its anti-immigration policy and the way it defends its values and interests. ,"Berlin has put concrete blocks around Christmas fair, Belgium has soldiers running armed around cities and Paris has mass demonstrations and car arsons happening all over the city. Poland is one of the last countries unspoilt by uncontrolled migration and terrorism. Poland has a chance to develop in fast pace."
"Tilly was supposed to come home by 4 but she got a detention. The school was supposed to inform her parents about it, but didn't do it. Sam is coming back home. Tilly will be home in 40 minutes. She will call Sam then. ",Tilly had a detention at school. She will be home in about 40 minutes. Sam is going back to his house. Tilly will call Sam when she is home.
"Gloria and Mell plan to have a barbeque at Mell's place on Saturday. They are happy, because Tad's sister moved to Scotland. Mell needs Gloria's advice on garden design.",Gloria and Mell will have a BBQ at Mell's place on Saturday. Gloria will do the food and the drinks. Mell will get the dessert.
Hailey hasn't been to I-max cinema yet and Whitney wants to take her to one to watch Aquaman. Hailey'll do everything to find some time for it. Whitney informs Hailey that Shadrack and his girlfriend are going with them.,Whitney will take Hailey to I-max cinemas the day Aqua man is released. Shadrack and his girlfriend will accompany them.
"Jacob, Jenny and George are telling each other what they have gotten for Christmas.",Jacob got a punchbag and Jenny got training shoes for Christmas. George got a cooking pot from his wife. Jenny wishes her husband Michael was a better cook.
Lincoln has broken Hudson's toilet seat. Hudson will replace a hinge. Lincoln doesn't have to repay Hudson.,Lincoln broke Hudson's toilet seat. Hudson will try to replace it with a new one and let him know if it works. Lincoln will buy a new hinge.
Katherine will bring her to Kayla around 11.,"Katherine is going to bring her daughter to Kayla at 11. Kayla finished work at 11, so it will be less problematic."
Martin is going to help Lorena assemble a new desk. He is coming to her house tomorrow.,"Lorena got a new desk and she needs help with assembly instructions. Martin can't help her today, but he will try to help her tomorrow."
Amy gives Everett permission to give her number to Ralph.,Everett will give Ralph Amy's phone number to his friend Ralph. Everett introduced Ralph to Amy at the pub
Diane is not happy with Ross prioritising work over spending time with her. ,"Ross has to work for 2 hours tonight. Diane wants to do something with Ross, but he wants to stay at home and prepare for work."
"Ed, Valerie, Chris, Lor, Atnee, Jessica, Matt are laughing at the sinfulness of the sex without marriage.","Ed, Chris, Lor, Atnee, Valerie, Jessica and Matt think sex is for married people and only for procreation, not for pleasure."
Gaya and Cristina are going to meet at Gaya's studio to talk about the photoshoot. Cristina prefers Wednesdays and Fridays.,Gaya and Cristina will meet next week to discuss the shoot. They will meet at Gaya's studio
Matt and Tony want to go to the concert of Bon Jovi next July in Poland and are planning to buy the tickets that cost 250 PLN before they’re sold out. Phil will think about it and let them know.,"Bon Jovi are coming to Warsaw, Poland, next July. The tickets start from pln 250. Tony and Phil will go with Matt and Phil."
Dan cooked a successful BBQ meal and will split the bill via Splitwise. He invites everyone who did not eat to remove themselves. ,"Sara, Ken, Ashley, Vicky, Gerardo, Eric and Gerardo ate the food from the BBQ. There are no leftovers for Sara as she didn't eat."
Camila and Harper agreed to order a meal and watch a movie tonight.,"Camila and Harper are going to watch Ugly Truth tonight. They will buy a bottle of wine, a take-away and stay in for the evening."
"Henry and Peter will be late for a birthday party. Michael and Vanessa are on their way. There was a serious accident, and Peter has no idea when they will manage to arrive. Henry will probably come before Peter.","May, Michael and Vanessa are on their way to a birthday party. Peter is stuck in a traffic because of an accident. Half of the guests are already at the party."
"Callan's Samsung S8 overheats, so he's going to the store to get it repaired.",Callan's Samsung S8 has a black screen. It overheats and it takes a while for it to restart again. Callan is going to the store and let them see it.
Mike is in London.,Mike is in London.
"Andrea's son is sick, she is taking a day off and taking him to the doctor's. ",Andrea can't come to work today because her son is sick. Patrick will take care of him for the next couple of days.
It took Phil a very long time to do the Christmas shopping but he probably managed to get everything. He will be home in an hour. Phil's apple pie will be in the oven when he arrives.,Nancy will make an apple pie for Phil. She will be home in an hour. She has everything she needs for the pie.
Piper will get paid tonight. Client liked Piper's work and wants to work with her on a long-term basis.,Bryan will send the payment to Piper tonight. Piper will be waiting for the payment. 
"Richie and Clay saw a very good football game, with one football player chopping the ball back to his foot, which was particularly exciting. Jose has trust in that player. ",Richie and Clay are impressed with Pogba's form this season. Jose has trust in Pogba and he deserved to score after his first 60 minutes.
"Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue.","Sybille is trying to register for the flight AF3581 from Minneapolis to Paris the 29th. Her son, 16, couldn't get his flight yesterday, so she asked for it to be postponed. He has to sleep in the airport as he has no ticket. Air France offers him a new flight DL140 from Minneapolis."
"Natalia, Harriet and Lara will book flight tickets today.","Natalia, Harriet and Lara"
Hans asks Slade to bring the ball and come to the practice.,Hans wants Slade to come to the practice
"Holt asks his girlfriends some advice on a present for his sister on her 21st birthday. Treena recommends cosmetics, whereas Zula suggests DVDs or book series. ","Darla, Darla, Olive, Treena and Zula will get Holt's 21-year-old sister"
Georgia sent a photo. Roxana and Summer advise Georgia to buy it.,Georgia wants to buy a new outfit for parties.
Miley is tired and doesn't want to work tomorrow.,Miley doesn't want to go to work tomorrow.
Greg asks Nina to accomodate him for two days while he's on a business trip.,Greg is coming to BG for a business trip. Nina will let him stay at her place for two nights longer. He will be going directly to work and then back to a city.
Amal and Amir saw Beyonce's tweet. They think she's great.,Amir and Amal
Alec saw America's got talent. He sent a link to Alexa.,"Alexa hasn't seen the last America's Got Talent, but she likes it. Alec thinks she might win the edition, because she's very good."
"Kelly hasn't received the rent money, because John sent it to the wrong bank account. He will go to the bank to tackle the issue.","Kelly still hasn't received the rent money. John sent it to 44-1278 account, but it went to someone else's account. John will go to the bank tomorrow and ask if they can re-send it to the right account."
James is heading to work so he's not watching the game.,James is going to work
Lilian has already told them she is at Helen's place.,Lilian is at Helen's place because her phone battery died. Kevin's
Freddy will sing at the school concert and send Simon 3 backing tracks.,Barbara asked Freddy to sing at the school concert on Friday. Freddy will send Simon three songs for the concert. Simon will send Freddy his email address and he will send them to Freddy.
Tommy took a bus. He enjoyed the weekend with Wayne. They will talk in the evening.,Tommy got home from the station. His mum didn't pick him up. Tommy liked the weekend. Tommy and Wayne will meet in the evening.
Trevor will meet Tobias at his place at 9 pm.,Tobias and Trevor will meet at 9
Autumn has sewn a dress.,Autumn hasn't checked the tests for a month because the dress wouldn't sew itself. Autumn has sewn a dress. Autumn will show Israel the photos on the site soon. 
Frances just got back from Vosges. She stayed a week in a farm house with Ferdinand and her dog Aiden. ,Frances is back from the Vosges. She had a great New Year's Eve in a farm house turned into a holiday flat. She didn't spend a lot of money.
Paula cannot get past level 637 in her game. She will look up the cheats online. ,Stew and Paula hate the game with hard levels. Paula can't get past 637 no matter what
Calum and Bethany doubt you can earn 80 thousands as a computer investigator. Calum and Bethany can't imagine taking to customers all day.,There's an ad coming up to be a computer investigator and you can earn almost 80 thou. Bethany can't imagine talking to stupid users all day.
Jackie's sister is pregnant two years before she planned for it. Jackie is worried about her financial situation.,Jackie's sister got pregnant. Jackie is worried about her. Her brother-in-law doesn't earn enough money for his kids. 
Sean never gets up for the morning lecture. He needs to attend it at least once to get the notes.,"Sean, Mike, Joseph and Mike's friends are going to the lecture tomorrow morning. They are not going to share their notes with Sean, Mike and Joseph."
Anna got an awful stomachache at night but she doesn't know its cause. Her mom Joanna will make her hot tea with some fresh mint leaves.,Anna has a stomachache. She ate cereal with milk and a banana for breakfast. Joanna will get her a hot tea with some fresh mint leaves.
Ziggler will bring the passport tomorrow as reminded by Dolph.,Ziggler will bring
Kate and Jeff are downstairs in a room next to the reception. Some lady is making a marzipan cake. ,Jeff and Kate are in the little room next to the reception. A woman is making a cake with a huge penis on it in the small room under the stairs.
Larry has to read the E-mail again and make a decision with Kirsten afterwards. Kirsten has to convince her husband. Kirsten wants to include Jamie and John. Larry and Kirsten are going to arrange menorah in the lobby.,"Kirsten and Larry want to talk to ""old heads"" about the insurance policy. They want to see a menorah in the lobby next year."
Somebody has to take the dog out. Chloe wants to go to Megan tonight and the father has to work late tonight. Chloe will have to come back home to let the dog out and then she can see Megan.,Chloe is going to Megan's house tonight. Lesley wants Chloe to go on a walk with the dog when she gets home. Chloe doesn't know when she will be home.
Natalie's wallet is in her room.,Natalie's wallet is
Rob is looking for Phil. Rob needs to talk with him. Phil will come over to his office tomorrow morning.,"Phil is on his way from one client to another. Rob needs to talk to Phil in person, but Phil is out of town. Phil will be in Rob's office tomorrow."
Martin is asexual. Nicole doesn't want to break up for this reason. She wants to give their relationship a try.,Nicole and Martin are going to meet in person to talk. Martin is asexual and wants Nicole to be happy with him. Nicole doesn't want to break up.
Mike suspects he might have had an allergic reaction to something.,Mike woke up with an allergic reaction.
David wants to get a new tattoo but he doesn't know what exactly yet.,"David wants to get a new tattoo, but he doesn't know what to get. Mike will go and get one with him."
William is making spaghetti. Olivia will buy fresh tomatoes for William. Beth will buy chocolate.,William is making spaghetti. Olivia will buy some fresh tomatoes and Beth will buy chocolate
Karen got stuck on the road from the swimming pool to Waitrose so wants Peter to avoid it. Peter is not leaving until 6 as he he has to finish his presentation. Karen will see Peter in a bit.,"The road from the swimming pool to Waitrose is blocked of and there are work vans everywhere. Peter is not leaving until 6 at the earliest, because he has to finish a presentation for the repairs team tomorrow."
Nick will let Matt know when he remembers what their internet connection is.,Matt and Nick don't know what internet connection they have. Matt needs it for the application. Nick usually uses his mobile service.
"Baron, Gabriel and Gavin have a match next week. Their tutor wants to join them.","Baron, Gabriel and Gavin are going to a match next week."
"Mia, Jennifer, Karine and Peter do not like Trump.","Mia, Jennifer and Peter think Trump is not as senile and stupid as they think. They think he's a populist who wants to scare people with a minority and present himself as the only savior."
Madison considers buying flight tickets to Thailand as she has found a cheap offer with 50% discount for children under 12.,"Madison and Adam are going to Thailand. Tickets cost a lot, but"
Tina has to learn Demi's approach how to transfer from hating men to dating them.,Tina has to learn how to transfer from hating men to fucking them as soon as possible. Demi worked on it hard after a huge heartbreak. Tina and Demi will organize a workshop on how to be chilled with men.
Winnie has broken her leg and will not visit any time soon. Freddie will ask mummy to call Winnie up.,Nanna has broken her leg and Freddie will have to visit Winnie instead. Mummy and Daddy will come when they can
"Mark, Clint and Phil are going to watch ""Batman. New Beginning"" on Saturday, at 7. Mark will get the tickets.","Mark, Clint and Phil are going to see """
Betty's house has mould due to condensation. Andy will send her a quote for the work needed by Friday.,"Andy has done some tests on the mould in Betty's spare bedroom upstairs and in the dinign room. Andy thinks it is caused by condensation, as most of the moist settles on and around the windows. Andy recommends installing a fan system, or PIV system, which would circulate air to dilute and take some moisture out of the air. Andy will send Betty a detailed quote for the work by Friday."
Warren locked the door.,Warren locked the door.
Aaron will give two lectures during the conference about relations at school at the Sesame Street. Claire will participate in mindfulness workshop.,Claire and Aaron are going to a conference about relations at school in Sesame Street. Aaron is giving two lectures and is a host. Claire will go to Jo's workshop on teamwork. Aaron took a mindfullness workshop in Berlin last year.
"Rob wants to sell his flat, because it's too small. Rob will meet a friend tomorrow who has a flat to sell.",Rob wants to sell his flat because it's too small for him and Kate to have a baby. He's looking for a three-bed flat. Rob's friend is relocating to another city and he's seeing him tomorrow about selling his flat.
Evan will try to make Ethan come.,Ethan might not come to the function. Evan will try to make him come
Daisy is in Naples. Charlie recalls their meeting and wants to see her again. He will come to Florence to see Daisy between 1-5 September.,Daisy is in Naples. Charlie is in San Fransisco. Charlie will take a train to Florence. Daisy will be in San Francisco from 1-5 of September.
Adele is still listening to the song which Code recommended. Kode will come to Adele's home today and will give her the whole album of the same singer. ,Adele is still listening to the song Kode recommended to her. Kode has the whole Album in USB for Adele. Adele is waiting for Kode.
"Maddie is confused, because Leah told her that Ian was dating a girl named Claire. Ian met Claire about 1,5 years ago, but they barely knew each other.","Ian doesn't know Claire. Leah told Maddie that Ian dumped Claire years ago. Ian and Leah met for the first time about 1,5 years ago, but Ian barely knows her."
Violet will make an appointment at a waxing salon. Home methods don't work for her.,Violet is going on vacation and she's going to find a good waxing salon in the neighbourhood. Paisley has been in a salon once and she doesn't want to go back. 
Suzy urges Linda to follow her on Instagram and she obliges.,Linda will follow Suzy on Instagram.
Sean reminds the guys about trade deadline today. Rick wants to vote. John will look at it after the season.,"Rick, Sean and John want to know if John will get Lamar Jackson or get another quarterback. John has rights to Lamar Jackson, but he's on waivers, so he's open. Rick and Sean want John to get rid of the QB rule."
Lisa is no longer interested in the diet now Amelia has informed her that her mum put on weight doing it.  ,Amelia's mum was on a crazy diet and she gained 5 pounds
"Carrie and Gina saw ""Fantastic Beast"" and liked it. Ginna loved Eddie Redmayne as Newt.  ","Carrie and Gina saw Fantastic Beast last week. Gina liked Eddie Redmayne as Newt. Alex wants to see it this weekend with Lane, but she's seen bad reviews."
Emily's favorite color is blue. Amelia can't talk about the reason behind her question with Emily.,Emily's favourite colour is blue. Amelia can't tell
Mary moved to Southampton in December.,Mary moved to Southampton in December
"He is no longer the teacher of Shanon, Victor, Oliver and Sid. He got fired today.","Victor, Oliver, Sid and Shanon are happy because their teacher got fired and thrown out of school. They are not happy"
Alex prefers the Flash to Barman and Superman thanks to his speed.,Alex likes the flash better than batman because he can do almost anything. Pedro doesn't get how powerful the flash can be.
"Marek sent Adam a photo of man's bottom. Marek made this photo in the shopping mall, on the escalator. ",Marek sent Adam a picture of his ass in a shopping mall. Adam thinks it's creepy for him to take pictures of someone's ass. 
Daniel's sister is visiting him. Daniel and Mark will meet at Mark's place for drinks.,It's supposed to rain so Daniel and Mark won't go to the river bank parties tonight. They will have drinks at Daniel's place as his sister Hannah is visiting.
Bart didn't do well this semester because he didn't study much. He played a lot fo StarCraft. Adrian did well thanks to paying attention in class,Bart bombed his economy final and got a bad score. He didn't study as much as he should have. Bart will re-take the class next year unless he keeps screwing up. Adrian got a reasonable grade.
Margot bought a bottle of nice wine for Nancy's birthday.,Margot bought a bottle of
Amelia thanks Lindsay for coming to Elliot's birthday.,Lindsay and Finlay came to Elliot's birthday party. Elliot had a good time. 
"Jennifer, Jack and Reece will match the latest Mad Max on Netflix tomorrow evening. Jack has already seen it.","Jennifer, Jack and Reece are going to watch the latest film on Netflix with Jennifer tomorrow evening. They will watch"
Sean believes his spirit animal is a tortoise and Tiffany's could be a wasp. ,Sean has decided that his spirit animal is a tortoise because everyone has one now. Tiffany thinks he's a wasp or a turtle.
"Mary is back. Mary's baby, Susie, is doing great.",Mary is happy to be back at home. Susie has a baby.
"Patti and Greg's cat is getting better, so Patti will pick it up later. Patti will come back home at around 5 pm.",Patti will pick up the cat from the vets later. She will come home and fetch the cage after work
Kate is buying apples for herself and George. They have to wait for tangerines until next week.,Kate is at the grocery store. George and Kate will buy an apple and a tangerine for school
Sam bought the earphones which cost him £187 along with delivery expenses. The order should be delivered the next day.,"Sam wants to buy earphones from Lia. The earphones are new and they are available in white, grey and pink. Sam will have them delivered to him through courier. The total cost is 187."
Kelly and Mary will wear red dresses. Mary will wear a red lipstick too. ,"Kelly, Meghan and Mary will wear"
Kate wants to borrow Emily's blue handbag as she needs it for Monica's wedding. Emily will bring it with her to the office tomorrow. ,Kate will borrow Emilly's blue handbag for Monica's wedding on Friday.
Gina will come to room 112 on the 2nd floor to pick up Monica's usb. ,Gina will come to Monica's office to use a free USB
Nathan is planning on buying a bike in spring. He will probably store the bike on some special hooks because his apartment is small. Nathan has also bought a stationary bike to keep fit.,Nathan wants to buy a bike in spring. He doesn't want to keep it in the hallway. Nathan also got a stationary bike so he can be in shape during winter.
Parker and Jason both prefer DC Universe to Marvel. Jason is still downloading the latest episode of Arrow season 7. ,Parker and Jason like the DC Universe better than the marvel universe. Jason hasn't downloaded the latest episode of arrow season 7 yet.
"Michael is returning from trip to Argentina, Brazil and Chile. He will be in Boston next weekend. Michael doesn't like his job, he thinks of quitting it and leaving London. Kai's been very busy recently. She has a conference on 8th of December.","Kai travels a lot. Michael is in Boston next weekend. He's been to Argentina, Brazil and Chile in the last 2 weeks. Michael wants to leave London and look for a job in the Netherlands."
Carol will collect the excess fruit on Wednesday at 6 pm.,Carol got more fruit from her garden. Jacob will pick up the fruits on Wednesday at 6 pm.    Carol doesn't want to eat the fruit.
Luca wants Molly to try harder.,Molly and Luca are having a hard time with the silly season. They are trying not to let it get them down.
Janette has mice in her kitchen.,Janette has got mice in her kitchen. She doesn't know how to tell her mom.
"Lawrence's almost done with the article, Madison needs it today.","Lawrence is not finished with the article yet, but he will be in a few minutes."
Julia will call Ronald when she gets back. He has something to tell her.,Julia's parents are having a fight over where to eat. She doesn't want to eat with them anymore. Ronald wants her to call him when she gets back.
"Agata has a new job, she's learning to code and she likes it. Guido doesn't understand her Facebook posts because he knows nothing about JavaScript.",Guido has trouble understanding Agata's posts on Facebook. Guido doesn't know anything about Java. Agata has just started a new job in JavaScript.
Alejandro and Luz are going to meet in 2 weeks for the first time. Luz knows Alejandro very well already. They talk about everything. Luz will be there on the 20th of December at 4PM. Alejandro will pick her up.,Luz and Alejandro are going to meet for the first time in 2 weeks. Alejandro will pick Luz up from the airport on 20th December at 4 PM.
Sam started a career mode in FIFA.,Sam started the career mode in FIFA 19. It's different from the one in 18
Ethan will buy Damian a kebab. Damian had a bad day.,"Ethan will buy a kebab for Damian because he's starving. Damian had a rough day, so he's"
Adam hasn't visited his parents in six months and is coming over tomorrow. His flight will land an hour later than originally scheduled. Hannah will let Dad know.,Adam's flight has been rescheduled and he will be there in less than 24 hours. Hannah will prepare something special for dinner for Adam and his family.
Matthew has a cold. He will drink some orange juice and go to sleep.,Matthew has a cold. Lisa advises him to drink orange juice and make some soup. Matthew will try to do it.
Joyce wants to take Kyle's car to get Harry. Kyle is taking the car to a mechanic. Joyce refuses to get Harry by bus. Kyle agrees to pick Harry up. ,"Joyce can't take the car, because Kyle has to go to a mechanic. Kyle will get Harry on his way, because he's running late."
"Bailey has plenty of clothes but she keeps buying new ones and she even had to buy four extra boxes for clothes at Ikea. Mikaela has the same problem, but she only had to buy one extra box. ",Bailey has a lot of fabric in his closet. Mikaela had to buy a box at Ikea because her closet got too small.
Toby proposed to Susan during their romantic weekend in a cosy hotel near the beach.,Susan and Toby stayed in a 4-star hotel near the beach. Toby proposed to Susan and she said yes. Melissa spent most of her time walking along the seaside.
"Eva is at a party, while Olivia is taking care of her daughter, Linta. Eva will leave soon and pick Linta up.",Olivia is having fun with her grand daughter Linta. Eva has to go home in an hour. She will leave Lintas with Olivia for a day.
Laura and Jack are about to meet. Jack is running 10 minutes late.,Jack is 10 minutes late
Michelle is not in favor of contemporary feminism movement.,"Breonna, Melissa, Christine, Hailey and Michelle are discussing the idea that men shouldn't act like animals. Hailey's friend got yelled at by a girl for 5 minutes because he held the door for her and said Ladies first."
Franks tells Zoe he loves her.,Zoe sends Frank a
"Josie finds Eco's novel ""Foucault's Pendulum"" nerdy. Josie would like to read Eco in Italian, but she's unsure of her language abilities. Stefano considers Eco's two novels and finds them difficult. Josie has read an unfavorable review of ""Foucault's Pendulum"" by Salman Rushdie.",Josie and Stefano are discussing novels. They are discussing Foucault's Pendulum and Eco's The Name of the Rose.
"Evan can't come to his lesson tomorrow, because he's got the flu.",Evan cancels his lesson with Dennis because he has the flu. He has been off college since Tuesday
They will meet around 9 pm tonight to attend a free concert in the City Park.,Amanda is going to a free concert in the city park around 9 p.m. Camille and Patrick will
Bobby's most annoyed by pharmaceutical companies. He believes they invent diseases to make money. He discovered that one company is selling mints as medicine for an illness that doesn't exist.,"Bobby is annoyed by pharmaceuticals, medicine and drugs. Mickey thinks they are good for the health of people, but not for his wallet. The pharmaceutical industry is worth $1.2 billion today."
Greg sent Dave his notes from statistics.,Greg has some notes from statistics. Dave's notes don't even exist. Greg is grateful to know such a smartass as Dave.
Sally is not going out because she doesn't feel well. ,Sally doesn't feel well. Mark will pick her up from the airport in a sec. Sally doesn't want her character to be killed off.
Sandy will go for a run. She will meet Joy after 11am. Lina and Joy don't think the dresses are appropriate. Joy will wait for Sandy.,Joy and Sandy will meet on Friday at 11 am. Sandy will be late as he's going for a run. Lina found a nice dress but she thinks it has too much cleavage.
"It's raining, so Val and Candy will wait half an hour before they go.",It's raining. Candy and Val are going to wait half an hour to see
Susie found the plasters and Ted kept them until the morning.,Ted found plasters and kept them till this morning after his shower.
Mary and Lily will call Kyle on facetime.,Mary will call Kyle in 10 minutes.
Harry will go to Taylors party tomorrow at 8pm. ,Taylor is throwing a party tomorrow at 8 PM at his house
"Tomas, Sierra and Jeremy have still not received the grant. Tomas is broke and is checking his bank account every hour. Sierra offers to lend him some money.",Sierra and Jeremy haven't received the grant yet. Tomas is broke. Sierra will lend him some money if he
Camilla has some errands to do on Saturday. Charles is visiting the German markets this weekend. They are talking about Christmas food and drinks.,Charles and Camilla are going to visit the German markets this weekend. They will try the mulled wine and sausage at Birmingham and Manchester markets.
Pamela will look at their website to apply for the RGS grant. Zoe and Xiara applied last year but they weren't lucky. Sometimes you have to be a member to apply.,Pamela will check the RGS website to see if she has to be a member
Colin informs Ava that with her height of 158 cm she is shorter than an average penguin.,"Ava is 158cm tall. Penguins' average height is 162cm when they stand up, so Ava is"
"Ursula got 93 on her French exam. Vaughn got 65, but still passed.","Ursula got a 93 on her French exam. Bob, Jana and Vaughn are surprised. Vaughn got a"
There was a drill at the school today.,There was a gas leak at school today. Three engines and an ambulance were called. It turned out to be a
"Perry, Marlow, Janet and Forster discuss their holiday plans. Marlow would like to go to Asia, others will think if they can join. The friends will meet tomorrow at 8 pm to discuss that. ","Janet and Forster will go to Asia in September. Perry, Marlow and Nina will meet over beer and talk. Perry won the cinema tickets."
The client manager suited up. He has a presentation for a client. Lee pre-ordered the digital RoS CE and got extra in-game content: Wings and a Demon Hunter for Heroes of the Storm.,Lee is scared and confused because the client manager at work is wearing a suit and a suit jacket. He has some sort of a client related presentation. Lee pre-purchased RoS CE in a temporal break.
"Maya wants Boris to bring clothes that are hanging outside. Brian will do that, because Boris isn't at home now.",Maya will bring home the clothes that are hanging outside. Boris will tell Brian to take
"Barry, Dave, Kelly, and Jake will meet around the campus at 12 to join Women's strike.","Barry, Jake, Dave and Kelly will go to the Women's strike"
Laurel and John meet at Jades tomorrow at 5 pm to buy a birthday gift for Diana. Diana's birthday is on Saturday.,John and Laurel will go to Jade's collection tomorrow to buy a birthday gift for Diana. They will meet at Jade's at 5 pm.
"Rachel has a new siamese cat, a girl called Portia. Rachel discovered that is allergic to cats. She is sneezing, has rashes and other allergic reactions. She takes medications that seem to help. Adam consoles Rachel.","Rachel got a new cat, a siamese called Portia. She's allergic to cats. She takes medication and it's working."
Mark is planning an afterparty after his wedding. It's going to take place at their house on the next day.,"Kristina, Matthew and Bart are going to Mark's wedding after party. They're going to a house party at Bart and Mark's."
Diana and Russel are buying a present for mum.,Russel and Diana will buy a present for their mother.
"Amy has severe aura. Penny, Owen and Neil want to meet her in person.",Amy looks serious at all times. Owen and Neil haven't talked to her. Penny and Owen want to
Rachel and Wai will go to the museum together. They will go to a bar then. Rachel will meet Wai's friends for the first time.,"Rachel and Wai will meet at 4 at the museum. They will then go to a bar. Rachel is worried they won't like her, but Wai assures her they always welcome new people to their team."
Robert is out of town.,Robert is not in town
Dorothea is having a birthday dinner in the town with Tom. Elena is seeing Dorothea at her party on Saturday. ,Dorothea is celebrating her birthday today. She's going to meet Tom and they're going to eat something in the town. Elena will see Dorothe
Jules and Derek don't have class tomorrow as it's Friday.,". Derek and Jules don't have class tomorrow, because it's Friday."
"Ainsley is sick, so she's not able to help Jane with her thesis now.","Jane wants Ainsley to help her with her thesis, but she's sick."
Felipe finds Lydia's legs attractive. She has been working out at the gym for months.,Lydia's legs are amazing thanks to months at the
"Mick's never done any student exchange before, but Amka did. Mick had a plan to go to London for Halloween, but he's not going because of his grandma's health problems. Amka will stay in as well. Mick tells Amka about Halloween in Poland.",Mick will go to the club with his friends for Halloween. Amka won't go to London with her grandparents as her grandma is ill. In Poland they don't celebrate Halloween.
Jessie and Karine went together to the kindergarten.,Jessie and Karine
Cael lets Mae know that the dress isn't ready yet.,Cael hasn't got
